,index,score_df1,claim_name,ncbi_gene_id_df1,ncbi_gene_id_df2,score_df2,score_ratio
41,605,0.0011719692272466,GRIN2B,2904,2904,0.000216214463721,5.4204016099445225
88,2914,0.0008980193606964,TBC1D1,23216,23216,0.0001674137058844,5.364073126225919
32,2068,0.0012381161888205,NTS,4922,4922,0.000232777416929,5.318884474081697
92,2811,0.0008980193606964,PRKAB2,5565,5565,0.000169482206988,5.2986055389282445
81,2525,0.0009140491096763,PSORS1C3,100130889,100130889,0.0001739788002366,5.253795913256396
80,425,0.0009140491096763,CYCSP5,360158,360158,0.0001739788002366,5.253795913256396
58,1728,0.0009718160071705,HLA-DQB1,3119,3119,0.0001864344215173,5.212642597119981
79,869,0.0009140491096763,POU5F1,5460,5460,0.0001755242790659,5.207536612830201
89,1769,0.0008980193606964,UGT2B10,7365,7365,0.0001731374216754,5.186743293313082
26,949,0.0013539021786401,UGT1A1,54658,54658,0.0002649626992922,5.109784064914818
24,706,0.0014482228766753,ABCG2,9429,9429,0.0002836699846749,5.105308826857504
43,944,0.0011525864702866,UGT1A3,54659,54659,0.0002277948237828,5.05975707062413
113,540,0.0008324644851382,GABRR1,2569,2569,0.0001658739349614,5.01865760483659
53,1686,0.0010130758474157,CYP2E1,1571,1571,0.0002072601159299,4.887944035302695
97,147,0.0008636681810828,HTR1D,3352,3352,0.0001778195595492,4.856992016358222
94,1068,0.0008980193606964,CCKBR,887,887,0.0001852489216689,4.847636102851126
