multiplex	node	score
1	9992	1.6765685895207038e-05
1	22871	1.6758083659658402e-05
1	55270	1.6734825873786455e-05
1	374	1.67284998625027e-05
1	4773	1.6714333302425362e-05
1	54575	1.6701875579047588e-05
1	2308	1.6679165971263467e-05
1	10000	1.6660561347013885e-05
1	408	1.6657341681787346e-05
1	762	1.6655378130927702e-05
1	10057	1.6649269297507992e-05
1	6532	1.661895757982104e-05
1	2691	1.6616194392677253e-05
1	1573	1.6520484710955012e-05
1	5058	1.6514899650371345e-05
1	7128	1.647847280748059e-05
1	1277	1.646741274206623e-05
1	5175	1.646279191327578e-05
1	6720	1.6453092546304394e-05
1	6696	1.645230454850247e-05
1	5319	1.6431637442978094e-05
1	90	1.64185417067754e-05
1	2895	1.6408121339016132e-05
1	8912	1.6380510913795733e-05
1	3654	1.6328722189644994e-05
1	3133	1.6310211398549725e-05
1	336	1.627617443660911e-05
1	3615	1.6275049278712637e-05
1	2646	1.626586733754065e-05
1	781	1.6255399976630714e-05
1	6799	1.6252175852789497e-05
1	3164	1.6245044284103156e-05
1	11332	1.6238300824321836e-05
1	3593	1.616978447611574e-05
1	10411	1.613538548827577e-05
1	338567	1.606046842627919e-05
1	7139	1.5974347563553343e-05
1	2168	1.596150009999993e-05
1	56479	1.595843629794054e-05
1	6355	1.5932014981105755e-05
1	5590	1.591820615401316e-05
1	142	1.591232310600673e-05
1	8737	1.5911193576595634e-05
1	22978	1.5905935087177094e-05
1	10855	1.5896242904431383e-05
1	5566	1.5888181666334412e-05
1	260293	1.587626300548893e-05
1	2330	1.5858541186904823e-05
1	959	1.5841684401852113e-05
1	4155	1.580591439318027e-05
1	51083	1.5805060304052647e-05
1	6198	1.580068786535502e-05
1	7003	1.579579077813201e-05
1	7415	1.5763062579796825e-05
1	3717	1.57617817487368e-05
1	3303	1.572596893140049e-05
1	1278	1.5699261765716125e-05
1	7134	1.5698257134780202e-05
1	553	1.568963407419281e-05
1	10062	1.5600942167909587e-05
1	2852	1.5592004789320296e-05
1	5584	1.556741174447271e-05
1	5295	1.5564948261191553e-05
1	1613	1.5537838067261856e-05
1	7010	1.5535342081603234e-05
1	5244	1.553530767094125e-05
1	8289	1.5485947701264956e-05
1	5296	1.5481494821996738e-05
1	11214	1.5422532573396037e-05
1	7097	1.540115484938544e-05
1	200316	1.5399939543472417e-05
1	28996	1.5369671902054236e-05
1	170850	1.5329150246207808e-05
1	5311	1.5328270774180336e-05
1	8660	1.5301528686990963e-05
1	23043	1.5288186011587948e-05
1	4282	1.5270967928729617e-05
1	240	1.5267588088074587e-05
1	8854	1.526585190867815e-05
1	2885	1.5208945328089209e-05
1	51426	1.5186397726598614e-05
1	2068	1.5185066542224258e-05
1	4058	1.5180231934906055e-05
1	3778	1.5174649853869087e-05
1	865	1.5172143460182747e-05
1	4763	1.5115450378187347e-05
1	2534	1.509949103310133e-05
1	7298	1.5096760587407543e-05
1	817	1.5059513619570934e-05
1	1147	1.5057745949940943e-05
1	324	1.504521015101946e-05
1	847	1.5042373671198358e-05
1	861	1.4998795433100342e-05
1	4846	1.4981055575449522e-05
1	598	1.493847062967962e-05
1	3592	1.4849130257759866e-05
1	5586	1.4842487850493456e-05
1	5371	1.4838175673717866e-05
1	6300	1.4820275592138446e-05
1	7476	1.4804247390725641e-05
1	4067	1.477585098971901e-05
1	5138	1.4770344288647504e-05
1	3777	1.4689587413804223e-05
1	2011	1.4688947514582957e-05
1	8767	1.4668398811603105e-05
1	6283	1.4642658962560379e-05
1	4129	1.4568709192976111e-05
1	6529	1.4564236302147874e-05
1	4986	1.4562177964746664e-05
1	840	1.4521469069680283e-05
